i,j,Longitude,Latitude,sealevel,upcount,e,q
3888,2928,129.5833333,-7.583333333,-26.72254938,-22.61759526,108,100
3889,2928,129.6166667,-7.583333333,-23.31467268,-20.3255061,108,100
3890,2928,129.65,-7.583333333,-19.12782618,-17.41435549,108,100
3891,2928,129.6833333,-7.583333333,-14.14869254,-14.08116222,108,100
3892,2928,129.7166667,-7.583333333,-8.692565248,-10.58288717,108,100
3893,2928,129.75,-7.583333333,-3.496769829,-7.293210527,108,100
3894,2928,129.7833333,-7.583333333,0.613142482,-4.632384919,108,100
3895,2928,129.8166667,-7.583333333,3.067652381,-2.917475051,108,100
3896,2928,129.85,-7.583333333,3.77815021,-2.265346314,108,100
3897,2928,129.8833333,-7.583333333,2.959849023,-2.621365067,108,100
3898,2928,129.9166667,-7.583333333,0.991007967,-3.828460688,108,100
3899,2928,129.95,-7.583333333,-1.873140046,-5.656526828,108,100
3900,2928,129.9833333,-7.583333333,-5.361941882,-7.769678942,108,100
3901,2928,130.0166667,-7.583333333,-8.710829232,-9.702523825,108,100
3902,2928,130.05,-7.583333333,-10.98292606,-10.95673923,888,-888
3903,2928,130.0833333,-7.583333333,-11.42924515,-11.16816634,121,100
3904,2928,130.1166667,-7.583333333,-10.13899557,-10.24182523,121,100
3905,2928,130.15,-7.583333333,-7.687220334,-8.317006815,121,100
3906,2928,130.1833333,-7.583333333,-4.059707422,-5.607304898,121,100
3907,2928,130.2166667,-7.583333333,0.613078643,-2.363929074,121,100
3908,2928,130.25,-7.583333333,5.73595833,1.078210442,121,100
3909,2928,130.2833333,-7.583333333,10.73065775,4.307616941,121,100
3910,2928,130.3166667,-7.583333333,14.93843333,6.851090079,121,100
3911,2928,130.35,-7.583333333,17.48513278,8.17597248,121,100
3912,2928,130.3833333,-7.583333333,17.3466801,7.779290032,121,100
3913,2928,130.4166667,-7.583333333,13.96160934,5.42423758,121,100
3914,2928,130.45,-7.583333333,7.758478703,1.308663281,121,100
